tcgaGD_data_protein,frame_tcgaGDC_data_GE_counts,frame_tcgaGD_data_Meth,frame_tcgaGDC_data_CNV_genelevel,frame_tcgaLGG_data_RNA_normalized,imaging
Composite El,TCGA-14-1034,TCGA-14-1034,TCGA-4W-AA9R,TCGA-VW-A7QS,TCGA-02-0006
TCGA-12-0692,TCGA-06-5411,TCGA-06-5411,TCGA-06-0171,TCGA-FG-A87Q,TCGA-02-0007
TCGA-RR-A6KA,TCGA-74-6581,TCGA-74-6581,TCGA-02-0102,TCGA-CS-6668,TCGA-02-0009
TCGA-14-0862,TCGA-06-5414,TCGA-06-5414,TCGA-14-1034,TCGA-FG-5965,TCGA-02-0010
TCGA-19-0962,TCGA-06-5856,TCGA-06-5856,TCGA-06-0209,TCGA-HT-7477,TCGA-02-0011
TCGA-28-1750,TCGA-76-6657,TCGA-76-6657,TCGA-26-6173,TCGA-VM-A8C9,TCGA-02-0014
TCGA-32-4211,TCGA-19-5958,TCGA-19-5958,TCGA-02-0084,TCGA-FG-A6J3,TCGA-02-0015
TCGA-74-6584,TCGA-14-1395,TCGA-14-1395,TCGA-14-0789,TCGA-S9-A6U5,TCGA-02-0016
TCGA-12-3650,TCGA-28-5216,TCGA-28-5216,TCGA-19-2621,TCGA-DU-5872,TCGA-02-0021
TCGA-06-6693,TCGA-4W-AA9T,TCGA-4W-AA9T,TCGA-06-2557,TCGA-HT-8105,TCGA-02-0023
TCGA-26-A7UX,TCGA-28-5219,TCGA-28-5219,TCGA-06-5411,TCGA-HT-7676,TCGA-02-0024
TCGA-08-0386,TCGA-06-0210,TCGA-06-0210,TCGA-02-0037,TCGA-HW-A5KM,TCGA-02-0025
TCGA-06-6389,TCGA-19-A60I,TCGA-19-A60I,TCGA-12-1599,TCGA-HT-7620,TCGA-02-0026
TCGA-28-1753,TCGA-32-1980,TCGA-32-1980,TCGA-12-0618,TCGA-DU-6397,TCGA-02-0027
TCGA-27-1831,TCGA-19-5951,TCGA-19-5951,TCGA-06-0139,TCGA-TQ-A7RG,TCGA-02-0028
TCGA-08-0359,TCGA-28-5211,TCGA-28-5211,TCGA-19-2620,TCGA-HT-A74J,TCGA-02-0033
TCGA-76-6192,TCGA-06-0190,TCGA-06-0190,TCGA-02-0014,TCGA-HT-7695,TCGA-02-0034
